case_id,role,rows,time_end_s,temperature_min_c,temperature_max_c,chip_max_c,pressure_drop_max_pa,radiative_heat_rate_max_abs_w,energy_residual_max_abs_w,energy_residual_p99_abs_w,missing_measurements,observation_coverage,group,fidelity,purpose,path
NF02_unseen_three_input_recipe,forecast,91,900.0,25.000009404676177,59.04009725195766,59.15062697914584,0.028663932664603136,0.0,0.0611524839447144,0.04762156549237542,270,0.01098901098901099,combined,conjugate_laminar,Test an unseen ordering and overlap of all three inputs.,data/nonlinear/eval/forecast/NF02_unseen_three_input_recipe.csv
NF03_power_extrapolation,forecast,91,900.0,25.000009404676177,101.97481750723153,102.21395318066567,0.017953996751569085,0.0,0.0036094231649279607,0.0033670212151864815,270,0.01098901098901099,extrapolation,conjugate_laminar,Expose hot-side model error above the 12 W training limit.,data/nonlinear/eval/forecast/NF03_power_extrapolation.csv
NF04_hot_low_flow_corner,forecast,91,900.0,40.00000403604736,114.43759971909384,114.60086244108277,0.007487389050420914,0.0,0.004710384525646205,0.0021722751588187546,270,0.01098901098901099,extrapolation,conjugate_laminar,Combine hot inlet air and low flow at high power.,data/nonlinear/eval/forecast/NF04_hot_low_flow_corner.csv
NF05_cold_inlet_extrapolation,forecast,91,900.0,25.00000940467612,57.17586370700644,57.321022584606,0.016730181888924816,0.0,0.0020626675320336574,0.0018228550674384877,270,0.01098901098901099,extrapolation,conjugate_laminar,Extrapolate below the inlet-temperature training range.,data/nonlinear/eval/forecast/NF05_cold_inlet_extrapolation.csv
NF06_air_velocity_interpolation,forecast,91,900.0,25.000009404676234,63.61748860145798,63.769115457317696,0.028557368041396025,0.0,0.002062667531493645,0.0018228550663005533,270,0.01098901098901099,air_velocity,conjugate_laminar,Interpolate unseen cooling velocities inside the training range.,data/nonlinear/eval/forecast/NF06_air_velocity_interpolation.csv
NF07_air_velocity_extrapolation,forecast,91,900.0,25.000009404676177,54.57935679827449,54.7774024780112,0.0762736516692668,0.0,0.002738289621346368,0.002416941832339068,270,0.01098901098901099,air_velocity,conjugate_laminar,Extrapolate to 0.30 m/s while remaining in the laminar regime.,data/nonlinear/eval/forecast/NF07_air_velocity_extrapolation.csv
NF08_short_power_pulses,forecast,601,600.0,25.00000940467612,34.29524130297693,34.46149313528247,0.01515178175639853,0.0,0.10957081523887247,0.031502856558594416,1800,0.0016638935108153079,dynamics,conjugate_laminar,"Expose fast modes with repeated 20-second, 15 W pulses.",data/nonlinear/eval/forecast/NF08_short_power_pulses.csv
NF09_stationary_hot_start,forecast,91,900.0,81.79989315473648,142.98867386584055,143.20215967324606,0.019410409284833872,0.0,0.012753519606338415,0.012238873997806007,270,0.01098901098901099,initialization,conjugate_laminar,Forecast from an unseen nonuniform hot stationary field.,data/nonlinear/eval/forecast/NF09_stationary_hot_start.csv
NM01_nominal_nonlinear,monitor,91,900.0,25.00000940467612,56.98586992846532,57.13426181924922,0.04226951631191202,0.0,0.05602916493214316,0.03591715850801074,0,1.0,monitoring,conjugate_laminar,Measure false alerts during normal nonlinear operation.,data/nonlinear/eval/monitor/NM01_nominal_nonlinear.csv
NM02_uncommanded_heat,monitor,91,900.0,25.000009404676234,59.40073615961592,59.555637336418386,0.04255294159086729,0.0,0.05595090182961293,0.035909332197911197,0,1.0,monitoring,conjugate_laminar,Detect a real 3 W heat load absent from the public command.,data/nonlinear/eval/monitor/NM02_uncommanded_heat.csv
NM03_uncommanded_cooling_loss,monitor,91,900.0,25.000009404676177,60.286012068836385,60.42364598203869,0.028310700261855132,0.0,0.003945565098738335,0.0025721254662688956,0,1.0,monitoring,conjugate_laminar,Detect a temporary airflow loss absent from the public velocity command.,data/nonlinear/eval/monitor/NM03_uncommanded_cooling_loss.csv
NR01_power_levels,model_gap,91,900.0,24.984898462344574,66.61468287739808,66.77546335941776,0.01621259070920115,1.8792301137630478,0.04034198289898949,0.031442028662478486,270,0.01098901098901099,radiation,conjugate_laminar_radiation,Measure radiation contribution by power level.,data/nonlinear/eval/model_gap/NR01_power_levels.csv
NR02_power_ramp,model_gap,91,900.0,24.984898462325873,55.54586805727678,55.647654425744975,0.01569646470952594,1.3194744157511886,0.00567094521407796,0.003981652746828057,270,0.01098901098901099,radiation,conjugate_laminar_radiation,Measure radiation along a continuous temperature sweep.,data/nonlinear/eval/model_gap/NR02_power_ramp.csv
NR03_combined_levels,model_gap,91,900.0,24.984898462317176,57.70691792686836,57.86593001134389,0.03967804117629107,1.3085411184084683,0.0029484782217803485,0.0027811063272572757,270,0.01098901098901099,radiation,conjugate_laminar_radiation,Measure radiation during asynchronous three-input operation.,data/nonlinear/eval/model_gap/NR03_combined_levels.csv
NR04_hot_low_flow_corner,model_gap,91,900.0,39.969533180716496,101.98506935719541,102.14877011754874,0.007443913548998113,3.0624647010063013,0.0030249840147220652,0.00300212948658487,270,0.01098901098901099,radiation,conjugate_laminar_radiation,Measure radiation where convection is weak and temperatures are high.,data/nonlinear/eval/model_gap/NR04_hot_low_flow_corner.csv
NR05_stationary_hot_start,model_gap,91,900.0,61.62378215457426,110.27684136618012,110.45880804239624,0.018190665819925143,4.4360844734488865,0.0054964400570014504,0.005266674155247929,270,0.01098901098901099,radiation,conjugate_laminar_radiation,Measure radiation during cooldown from a nonuniform hot field.,data/nonlinear/eval/model_gap/NR05_stationary_hot_start.csv
